experiment,config_name,dataset,condition,condition_value,model,seed,n_train,n_test,treated_fraction_train,fit_seconds,pehe,abs_ate_error,cate_mae,cate_bias,ate_true,ate_hat,policy_value,policy_regret,optimal_policy_value,pehe_tau_q1,pehe_tau_q2,pehe_tau_q3,pehe_tau_q4,diag_treated_fraction,diag_ps_min,diag_ps_max,diag_ps_frac_below_0.1,diag_ps_frac_above_0.9,diag_ps_ks_treated_vs_control,diag_smd_mean,diag_smd_max,diag_smd_frac_above_0.1,diag_true_ps_min,diag_true_ps_max,error
ablation,ablation_synthetic,synthetic,ablation,full,neural_rep,0,4000,2000,0.501,6.955083847045898,0.4133540932486964,0.09017611444597429,0.31256423002099826,-0.09017611444597412,1.0128744078194218,0.9226982933734476,1.0237554661623014,0.007633718741280271,1.0313891849035817,0.33229508829783344,0.2992128903960526,0.3729974779592142,0.5868312598795742,0.501,0.02218991032411194,0.9627244639617757,0.014,0.01525,0.3491713966855867,0.09593527189982025,0.6103514382148788,0.2,0.02207171862846223,0.9618833171064568,
ablation,ablation_synthetic,synthetic,ablation,full,neural_rep,1,4000,2000,0.50725,4.275993347167969,0.42873530490973477,0.05474423171007592,0.29571150965662435,-0.05474423171007594,1.0141325962808647,0.9593883645707888,1.10133269783153,0.006326416125665979,1.107659113957196,0.2696006340128625,0.2671426544743775,0.3279563440463485,0.695450058166776,0.50725,0.026580056261820795,0.9740609279363494,0.0155,0.018,0.358488872285398,0.09965998347896692,0.5646055835702833,0.15,0.02984501438046168,0.9632777834711028,
ablation,ablation_synthetic,synthetic,ablation,full,neural_rep,2,4000,2000,0.4875,4.564544439315796,0.40167198814852917,0.034209720641908525,0.3046149749738935,0.034209720641908616,1.0147082990583811,1.0489180197002896,1.1140419904670011,0.008298395867168074,1.1223403863341692,0.40150045610037577,0.31657132537904514,0.34384907894406325,0.5154700135420419,0.4875,0.020728712301174835,0.970055777627089,0.02375,0.019,0.37642276422764226,0.10760486045201996,0.5930022008741594,0.2,0.02615533252974723,0.9716287275407833,
ablation,ablation_synthetic,synthetic,ablation,full,neural_rep,3,4000,2000,0.4835,3.423370599746704,0.4632307508883673,0.025193993494627254,0.33867231469170056,0.0251939934946272,0.9961418632710395,1.0213358567656667,0.9789187780740193,0.008912897524800845,0.9878316755988201,0.5280211019322519,0.3196708850436462,0.2874608393339355,0.628252673128809,0.4835,0.014183116049417051,0.9706420195637769,0.025,0.01275,0.38509086395084247,0.11305492233696497,0.5561196026631023,0.25,0.017246274361952287,0.9773516795517425,
ablation,ablation_synthetic,synthetic,ablation,full,neural_rep,4,4000,2000,0.4975,4.14562201499939,0.4485307217113503,0.1157884211955984,0.33225892901886517,-0.11578842119559843,1.000541646219205,0.8847532250236065,1.0825045900270016,0.007977959232008613,1.0904825492590102,0.38816388044622263,0.25688751801920184,0.3547407606689784,0.6798645681299169,0.4975,0.009778930617724614,0.9799756164689833,0.01575,0.0115,0.3626965674141854,0.09945777944864397,0.538510127443093,0.15,0.017193404491357145,0.9769899468579579,
ablation,ablation_synthetic,synthetic,ablation,full,neural_rep,5,4000,2000,0.49225,4.035141468048096,0.3932349945929873,0.029624677332938276,0.2895375601580601,0.029624677332938283,1.0005741962988928,1.030198873631831,0.9380448689236724,0.008298579317006283,0.9463434482406787,0.34396902221884573,0.31135035738309197,0.3138679789902486,0.5520581512540105,0.49225,0.021160787079960195,0.9843646935529164,0.02,0.0125,0.35525184925678394,0.09753791279273483,0.5917016959437034,0.2,0.027021497048347824,0.9879391287029303,
ablation,ablation_synthetic,synthetic,ablation,full,neural_rep,6,4000,2000,0.493,4.836422681808472,0.4230943617168498,0.03551082413146722,0.31933090738783587,-0.035510824131467375,0.9888664697037531,0.9533556455722859,1.0017186521165498,0.01286812043758645,1.0145867725541362,0.3333847781502349,0.33947462220245495,0.3897935390964428,0.5811264261098811,0.493,0.02563958309625526,0.9547678129177327,0.01525,0.0105,0.3721489411924737,0.0940493683324872,0.6058911208894637,0.15,0.026336015377497433,0.9561696257484746,
ablation,ablation_synthetic,synthetic,ablation,full,neural_rep,7,4000,2000,0.5125,3.156526565551758,0.5086208597373437,0.172877951145314,0.37615506421041384,-0.17287795114531407,0.9891944951248236,0.8163165439795096,1.0641105942661353,0.008850558202885495,1.0729611524690208,0.41017397809144396,0.24653582149073866,0.38291325695708067,0.8118716338836243,0.5125,0.021913076744389796,0.9811609628634018,0.01875,0.0265,0.3870919324577861,0.09417651430728041,0.6051335956353373,0.2,0.02971233266409221,0.9680250758395678,
ablation,ablation_synthetic,synthetic,ablation,full,neural_rep,8,4000,2000,0.5145,4.206035137176514,0.3803066359551184,0.028335041275659,0.28133136658694197,-0.02833504127565887,1.0064086321394927,0.9780735908638337,1.1450387944649525,0.006033603993670367,1.1510723984586229,0.36464822098594674,0.24063450591194446,0.2880291512995512,0.5519949881148872,0.5145,0.026702762248790556,0.9648475539878203,0.01175,0.01325,0.3523833544010513,0.09948400012808348,0.5679217241240456,0.2,0.0235854278146069,0.9655988709120248,
ablation,ablation_synthetic,synthetic,ablation,full,neural_rep,9,4000,2000,0.49825,3.4045205116271973,0.5048029500892091,0.165521716728684,0.3824145487354581,-0.16552171672868407,0.9975098252424344,0.8319881085137504,0.9518921153573033,0.012025333728238996,0.9639174490855423,0.42055876155355865,0.2887262973469768,0.4309342674216607,0.7572101320886248,0.49825,0.0277698919228617,0.9755366303760744,0.018,0.01375,0.3675955030449123,0.10192315537524592,0.5722930515499194,0.15,0.028826725965079212,0.9756256280497015,
